Station;Latitude;Longitude
Tumbaco;-0.206;-78.4
Carapungo;-0.092333;-78.441667
Jipijapa;-0.156;-78.474667
Belisario;-0.174667;-78.487333
El Camal;-0.25;-78.506
Centro;-0.218667;-78.506
Guamani;-0.325167;-78.558333
los Chillos;-0.3;-78.456
Cotocollao;-0.11072;-78.49953



