,mean
8966d33aaafffff,51.29962168330955
8966d33142fffff,38.1858305278174
8966d338847ffff,58.5143018998273
8966d33a0a7ffff,12.555832716927453
8966d338b67ffff,59.45830416068867
8966d3280cfffff,36.18769358059914
8966d321ecbffff,34.24062987197724
