"h3id","avg_congested_prop","max_length","avg_speed","min_median_level","bool_highway","bool_ramps","count_highway","count_streets","count_primary","count_secondary","count_primary_street","count_primary_ramps"
"898e62c0ea7ffff","3.2541143654114366","1264","2.2997024934736285","1","0","0","0","332","0","0","705","0"
"898e62d520fffff","10.11997226074896","3239","2.9111752449169828","2","0","0","0","380","0","0","1128","0"
"898e62d59b7ffff","13.08125","352","1.354319001906318","3","0","0","0","97","0","0","0","0"
"898e62d5843ffff","25.779411764705884","644","2.898662173202614","3","0","0","0","35","0","0","0","0"
"898e62d5d2fffff","48.50961538461539","1628","2.395255901505901","1","0","0","0","2","0","0","73","0"
"898e62c0893ffff","9.083885819521178","5725","2.542557989898527","3","1","1","1008","27","0","0","4911","157"
"898e62c5687ffff","2.7871416871416868","1470","2.8271249253581527","3","0","0","0","500","0","0","6404","0"
"898e62d535bffff","3.7939884393063585","1584","2.7106264052557867","2","0","0","0","468","0","0","859","0"
"898e62c092fffff","13.295150501672241","734","2.6947927967728607","1","0","0","0","121","0","0","457","0"
"898e62c068bffff","16.704545454545453","804","2.271031047876286","2","0","0","0","76","0","0","48","0"
"898e62d5907ffff","6.972299168975069","737","1.7837884758746945","1","0","0","0","99","0","0","201","0"
"898e62d0e3bffff","10.376923076923077","526","2.7297024895721553","2","0","0","0","63","0","0","247","0"
"898e62c7457ffff","8.841975308641976","9076","2.6410329249427633","1","1","0","1","159","0","0","592","0"
"898e62d5877ffff","29.583333333333332","399","1.7519868827160492","3","0","0","0","23","0","0","0","0"
