h3id,time,NO2
89c2f1571a7ffff,2019-04-01,14.893617021276597
89c2f1571a7ffff,2019-04-02,29.25531914893617
89c2f1571a7ffff,2019-04-03,10.638297872340425
89c2f1571a7ffff,2019-04-04,21.808510638297875
89c2f1571a7ffff,2019-04-05,14.893617021276597
89c2f1571a7ffff,2019-04-06,14.893617021276597
89c2f1571a7ffff,2019-04-07,21.808510638297875
89c2f1571a7ffff,2019-04-08,23.404255319148938
89c2f1571a7ffff,2019-04-09,22.340425531914896
89c2f1571a7ffff,2019-04-10,14.893617021276597
89c2f1571a7ffff,2019-04-11,13.829787234042554
89c2f1571a7ffff,2019-04-12,14.361702127659575
89c2f1571a7ffff,2019-04-13,10.638297872340425
89c2f1571a7ffff,2019-04-14,14.893617021276597
89c2f1571a7ffff,2019-04-15,12.765957446808512
89c2f1571a7ffff,2019-04-16,12.23404255319149
89c2f1571a7ffff,2019-04-17,17.02127659574468
89c2f1571a7ffff,2019-04-18,15.425531914893618
89c2f1571a7ffff,2019-04-19,16.48936170212766
89c2f1571a7ffff,2019-04-20,12.23404255319149
89c2f1571a7ffff,2019-04-21,20.21276595744681
89c2f1571a7ffff,2019-04-22,12.765957446808512
89c2f1571a7ffff,2019-04-23,12.23404255319149
89c2f1571a7ffff,2019-04-24,12.23404255319149
89c2f1571a7ffff,2019-04-25,14.893617021276597
89c2f1571a7ffff,2019-04-26,17.5531914893617
89c2f1571a7ffff,2019-04-27,17.02127659574468
89c2f1571a7ffff,2019-04-28,17.02127659574468
89c2f1571a7ffff,2019-04-29,20.21276595744681
89c2f1571a7ffff,2019-04-30,12.23404255319149
89c2f119a73ffff,2019-04-01,12.23404255319149
89c2f119a73ffff,2019-04-02,15.425531914893618
89c2f119a73ffff,2019-04-03,10.106382978723405
89c2f119a73ffff,2019-04-04,15.425531914893618
89c2f119a73ffff,2019-04-05,11.702127659574469
89c2f119a73ffff,2019-04-06,19.680851063829788
89c2f119a73ffff,2019-04-07,15.425531914893618
89c2f119a73ffff,2019-04-08,39.361702127659576
89c2f119a73ffff,2019-04-09,21.808510638297875
89c2f119a73ffff,2019-04-10,15.425531914893618
89c2f119a73ffff,2019-04-11,12.765957446808512
89c2f119a73ffff,2019-04-12,15.425531914893618
