"h3id","day","month","year","counta","max_length","mean_speed","median_level","bool_highway","bool_ramps","count_highway","count_streets","count_primary","count_secondary","count_primary_street","count_primary_ramps"
"8966d33a50fffff","29","4","2019","2","430","2.088888888888889","3","0","0","0","2","0","0","0","0"
"8966d33881bffff","14","4","2019","8","433","3.089930555555556","3","0","0","0","0","0","0","8","0"
"8966d33a50fffff","27","4","2019","18","352","1.4705246913580252","3","0","0","0","18","0","0","0","0"
"8966d33885bffff","3","4","2019","28","475","1.6216269841269841","4","0","0","0","28","0","0","0","0"
"8966d33108fffff","30","4","2019","44","1095","4.117613636363637","3","0","0","0","5","0","0","39","0"
"8966d33a85bffff","5","4","2019","423","1329","2.316909640136591","3","0","0","0","0","0","0","423","0"
"8966d32adc7ffff","25","4","2019","20","277","1.059861111111111","4","0","0","0","0","0","0","20","0"
"8966d3314b3ffff","25","4","2019","2","460","1.9055555555555554","3","0","0","0","0","0","0","2","0"
"8966d328053ffff","18","4","2019","7","688","4.671428571428572","2","0","0","0","7","0","0","0","0"
"8966d33aa0fffff","30","4","2019","2","607","3.1277777777777778","3","0","0","0","2","0","0","0","0"
"8966d328423ffff","10","4","2019","62","1027","3.7953405017921154","3","0","0","0","0","0","62","0","0"
"8966d33881bffff","16","4","2019","349","1149","1.9836755810251525","3","0","0","0","152","0","0","197","0"
"8966d328423ffff","12","4","2019","71","1070","4.303325508607197","2","0","0","0","0","0","71","0","0"
"8966d33885bffff","13","4","2019","50","577","1.6483333333333334","3","0","0","0","50","0","0","0","0"
"8966d33aa27ffff","13","4","2019","87","829","3.0007024265644966","3","0","0","0","38","0","0","49","0"
"8966d33aa2bffff","2","4","2019","262","899","3.353954622561493","3","0","0","0","0","0","0","262","0"
"8966d33881bffff","28","4","2019","17","553","2.3547385620915033","3","0","0","0","8","0","0","9","0"
"8966d33a50fffff","3","4","2019","6","498","3.907407407407407","2","0","0","0","6","0","0","0","0"
"8966d338b97ffff","16","4","2019","2","860","5.786111111111111","3","1","0","2","0","0","0","0","0"
"8966d33332fffff","14","4","2019","1","649","4.194444444444445","3","0","0","0","0","0","0","1","0"
"8966d32808bffff","17","4","2019","2","710","4.0777777777777775","2","0","0","0","0","0","0","2","0"
"8966d33aa27ffff","15","4","2019","216","967","2.1530864197530857","3","0","0","0","110","0","0","106","0"
"8966d33a85bffff","20","4","2019","111","1329","2.769544544544543","2","0","0","0","0","0","0","111","0"
"8966d33885bffff","29","4","2019","27","475","2.140123456790123","3","0","0","0","27","0","0","0","0"
"8966d338c97ffff","24","4","2019","326","2825","3.091402522154058","3","0","0","0","0","0","0","326","0"
"8966d33108fffff","16","4","2019","5","1009","5.128333333333333","2","0","0","0","0","0","0","5","0"
"8966d32a5a3ffff","19","4","2019","3","1197","5.83425925925926","2","0","0","0","0","0","3","0","0"
"8966d338b73ffff","15","4","2019","10","1264","1.8552777777777778","4","0","0","0","8","0","0","2","0"
"8966d32a5a3ffff","23","4","2019","10","206","1.5630555555555556","4","0","0","0","10","0","0","0","0"
"8966d32adc7ffff","30","4","2019","19","390","1.4083333333333332","4","0","0","0","0","0","0","19","0"
"8966d33a50fffff","8","4","2019","9","247","1.88179012345679","3","0","0","0","9","0","0","0","0"
"8966d33885bffff","6","4","2019","59","577","1.4682203389830504","4","0","0","0","59","0","0","0","0"
"8966d32adc7ffff","3","4","2019","29","277","1.7305555555555556","3","0","0","0","0","0","0","29","0"
"8966d33aa27ffff","10","4","2019","237","1022","1.938548992030005","3","0","0","0","120","0","0","117","0"
"8966d33a50fffff","20","4","2019","16","539","2.188368055555556","3","0","0","0","16","0","0","0","0"
"8966d32842bffff","25","4","2019","28","1230","3.682837301587302","3","0","0","0","0","0","28","0","0"
"8966d338a87ffff","7","4","2019","40","519","1.094583333333333","3","0","0","0","40","0","0","0","0"
"8966d32845bffff","8","4","2019","18","648","2.516358024691358","3","0","0","0","18","0","0","0","0"
"8966d33a50fffff","6","4","2019","28","940","1.3193452380952382","3","0","0","0","28","0","0","0","0"
"8966d33aa2bffff","16","4","2019","223","899","3.35171898355755","3","0","0","0","15","0","0","208","0"
"8966d32adc7ffff","10","4","2019","32","277","1.47890625","4","0","0","0","0","0","0","32","0"
"8966d33108fffff","28","4","2019","6","575","4.753703703703704","2","0","0","0","0","0","0","6","0"
"8966d338b7bffff","2","4","2019","64","522","1.4017361111111106","4","0","0","0","0","0","0","64","0"
"8966d32a50fffff","11","4","2019","14","1952","6.351984126984128","3","1","0","14","0","0","0","0","0"
"8966d338a87ffff","17","4","2019","121","635","1.407736455463727","3","0","0","0","121","0","0","0","0"
"8966d338a87ffff","5","4","2019","107","696","1.5316458982346837","3","0","0","0","107","0","0","0","0"
"8966d328423ffff","24","4","2019","98","1027","3.21641156462585","3","0","0","0","18","0","80","0","0"
"8966d32115bffff","2","4","2019","20","176","0.0","5","0","0","0","0","0","0","20","0"
"8966d33885bffff","8","4","2019","11","393","2.303282828282828","4","0","0","0","11","0","0","0","0"
"8966d33885bffff","23","4","2019","52","581","2.053472222222222","3","0","0","0","52","0","0","0","0"
"8966d33108fffff","27","4","2019","11","1072","4.519191919191919","3","0","0","0","0","0","0","11","0"
"8966d33aa27ffff","19","4","2019","48","1771","3.9728587962962947","3","0","0","0","14","0","0","34","0"
"8966d338b97ffff","1","4","2019","6","860","6.244907407407408","3","1","0","6","0","0","0","0","0"
"8966d33a397ffff","10","4","2019","5","255","1.5955555555555556","4","0","0","0","5","0","0","0","0"
"8966d338b97ffff","7","4","2019","11","229","0.8830808080808082","3","0","0","0","11","0","0","0","0"
"8966d33a397ffff","24","4","2019","4","434","2.4833333333333334","3","0","0","0","4","0","0","0","0"
"8966d32adc7ffff","8","4","2019","16","277","1.4428819444444443","4","0","0","0","0","0","0","16","0"
"8966d33a85bffff","22","4","2019","367","3702","2.5121102028458973","3","0","0","0","0","0","0","367","0"
"8966d32808bffff","14","4","2019","10","258","1.4969444444444444","4","0","0","0","5","0","0","5","0"
"8966d33a133ffff","5","4","2019","109","672","1.9566258919469919","4","0","0","0","10","0","0","99","0"
"8966d32842bffff","16","4","2019","36","1230","3.9597993827160485","3","0","0","0","0","0","36","0","0"
"8966d338c97ffff","10","4","2019","188","1622","3.8158540189125247","3","0","0","0","0","0","0","188","0"
"8966d32adc7ffff","23","4","2019","2","334","2.7","3","0","0","0","0","0","0","2","0"
"8966d32842bffff","14","4","2019","29","975","3.287739463601533","3","0","0","0","7","0","22","0","0"
"8966d338b7bffff","17","4","2019","9","522","1.950617283950617","4","0","0","0","0","0","0","9","0"
"8966d33332fffff","25","4","2019","5","642","3.712222222222222","3","0","0","0","5","0","0","0","0"
"8966d338b7bffff","19","4","2019","4","621","3.7694444444444444","3","0","0","0","4","0","0","0","0"
"8966d338b47ffff","17","4","2019","8","319","1.6357638888888888","3","0","0","0","8","0","0","0","0"
"8966d338c97ffff","8","4","2019","171","2825","3.380100714749836","3","0","0","0","0","0","0","171","0"
"8966d338b47ffff","15","4","2019","2","329","1.575","3","0","0","0","2","0","0","0","0"
"8966d33a85bffff","2","4","2019","412","1268","2.0992718446601932","3","0","0","0","0","0","7","405","0"
"8966d33aa0fffff","6","4","2019","5","654","2.1416666666666666","3","0","0","0","5","0","0","0","0"
"8966d338c97ffff","21","4","2019","145","994","4.4722796934865885","2","0","0","0","0","0","0","145","0"
"8966d338b97ffff","22","4","2019","18","1532","5.902006172839508","2","1","0","5","13","0","0","0","0"
"8966d328053ffff","21","4","2019","9","688","4.22716049382716","3","0","0","0","9","0","0","0","0"
"8966d338a87ffff","16","4","2019","151","552","1.629948491537895","2","0","0","0","151","0","0","0","0"
"8966d33a85bffff","4","4","2019","482","1329","2.220395343476257","3","0","0","0","0","0","0","482","0"
"8966d3389c3ffff","7","4","2019","15","823","5.543333333333334","2","0","0","0","15","0","0","0","0"
"8966d338b73ffff","6","4","2019","8","1587","3.9135416666666663","3","0","0","0","0","0","0","8","0"
"8966d3314b3ffff","10","4","2019","6","363","1.6787037037037038","4","0","0","0","6","0","0","0","0"
"8966d33881bffff","1","4","2019","486","628","1.962694330132603","3","0","0","0","320","0","0","166","0"
"8966d338b73ffff","12","4","2019","8","500","3.1451388888888885","4","0","0","0","0","0","0","8","0"
"8966d33881bffff","3","4","2019","386","669","1.9797135866436382","3","0","0","0","260","0","0","126","0"
"8966d33881bffff","6","4","2019","135","566","2.3922633744855983","3","0","0","0","59","0","0","76","0"
"8966d328423ffff","7","4","2019","30","1027","4.340648148148148","2","0","0","0","0","0","30","0","0"
"8966d33885bffff","28","4","2019","29","479","2.340708812260536","3","0","0","0","29","0","0","0","0"
"8966d33a0d7ffff","6","4","2019","21","319","1.7890211640211642","3","0","0","0","21","0","0","0","0"
"8966d33a133ffff","22","4","2019","50","823","1.843555555555555","4","0","0","0","0","0","0","50","0"
"8966d32845bffff","25","4","2019","10","256","1.6194444444444442","4","0","0","0","10","0","0","0","0"
"8966d33a50fffff","25","4","2019","10","371","1.8866666666666672","4","0","0","0","10","0","0","0","0"
"8966d338853ffff","19","4","2019","5","220","1.651111111111111","4","0","0","0","5","0","0","0","0"
"8966d33aa2bffff","28","4","2019","25","840","4.1146666666666665","3","0","0","0","0","0","0","25","0"
"8966d33108fffff","25","4","2019","2","1009","2.4916666666666667","3","0","0","0","0","0","0","2","0"
"8966d32845bffff","19","4","2019","10","256","1.8961111111111113","3","0","0","0","10","0","0","0","0"
"8966d33a397ffff","19","4","2019","2","276","2.1944444444444446","3","0","0","0","2","0","0","0","0"
"8966d338c97ffff","5","4","2019","351","1842","3.4618629313073788","3","0","0","0","0","0","0","351","0"
"8966d32842bffff","28","4","2019","32","1230","3.774739583333334","3","0","0","0","0","0","32","0","0"
"8966d338b73ffff","13","4","2019","10","1264","1.9155555555555555","3","0","0","0","0","0","0","10","0"
"8966d33885bffff","18","4","2019","53","475","1.3998951781970643","4","0","0","0","53","0","0","0","0"
"8966d328423ffff","9","4","2019","29","1070","3.933333333333333","3","0","0","0","0","0","29","0","0"
"8966d338b7bffff","20","4","2019","7","450","2.308730158730159","3","0","0","0","0","0","0","7","0"
"8966d33aa2bffff","5","4","2019","168","899","3.808267195767193","3","0","0","0","0","0","0","168","0"
"8966d328437ffff","20","4","2019","8","570","2.409027777777778","3","0","0","0","8","0","0","0","0"
"8966d338b7bffff","18","4","2019","27","450","1.2064814814814815","4","0","0","0","0","0","0","27","0"
"8966d33ae67ffff","6","4","2019","9","2265","6.86141975308642","2","0","0","0","0","9","0","0","0"
"8966d32808bffff","26","4","2019","19","310","1.8552631578947372","3","0","0","0","0","0","0","19","0"
"8966d33a133ffff","29","4","2019","65","910","1.7448717948717956","4","0","0","0","0","0","0","65","0"
"8966d33aa2bffff","30","4","2019","241","899","3.7328722913785164","3","0","0","0","10","0","0","231","0"
"8966d338b7bffff","27","4","2019","8","571","2.316666666666667","4","0","0","0","0","0","0","8","0"
"8966d32842bffff","6","4","2019","46","1524","3.2497584541062805","3","0","0","0","0","0","46","0","0"
"8966d32a427ffff","7","4","2019","14","905","4.393055555555555","3","0","0","0","14","0","0","0","0"
"8966d338b47ffff","29","4","2019","13","319","1.2177350427350428","3","0","0","0","13","0","0","0","0"
