"h3id","day","month","year","counta","max_length","mean_speed","median_level","bool_highway","bool_ramps","count_highway","count_streets","count_primary","count_secondary","count_primary_street","count_primary_ramps"
"898e62d5b73ffff","28","4","2019","2","214","1.65","3","0","0","0","0","0","0","2","0"
"898e62d5b73ffff","11","4","2019","16","527","2.489930555555555","3","0","0","0","7","0","0","9","0"
"898e62d0857ffff","11","4","2019","16","1239","2.448611111111111","4","0","0","0","0","0","0","16","0"
"898e62c04cfffff","27","4","2019","2","233","1.4194444444444445","4","0","0","0","2","0","0","0","0"
"898e62c311bffff","12","4","2019","4","611","4.249305555555556","2","0","0","0","4","0","0","0","0"
"898e62d0e27ffff","19","4","2019","11","392","2.3585858585858586","3","0","0","0","11","0","0","0","0"
"898e62d5903ffff","10","4","2019","489","1392","1.5734321745057935","4","0","0","0","290","0","0","199","0"
"898e62d4acbffff","24","4","2019","199","1167","2.3720826353992193","3","0","0","0","0","0","0","199","0"
"898e62d521bffff","26","4","2019","136","1372","2.286989379084968","3","0","0","0","0","0","0","136","0"
"898e62d4aabffff","18","4","2019","12","326","2.5833333333333335","2","0","0","0","0","0","0","12","0"
"898e62c742bffff","3","4","2019","10","211","1.5741666666666665","4","0","0","0","0","0","0","10","0"
"898e62c0053ffff","15","4","2019","13","747","1.9677350427350424","3","0","0","0","13","0","0","0","0"
"898e62c742bffff","5","4","2019","2","622","2.575","3","0","0","0","0","0","0","2","0"
"898e62d521bffff","9","4","2019","263","1372","2.1578791719476134","4","0","0","0","0","0","0","263","0"
"898e62c0987ffff","12","4","2019","453","3177","2.5646799116997783","3","1","1","103","4","0","0","254","92"
"898e62c742bffff","22","4","2019","4","430","3.4625000000000004","3","0","0","0","0","0","0","4","0"
"898e62c04afffff","10","4","2019","58","4183","2.324521072796936","3","1","0","2","10","0","0","46","0"
"898e62c31b3ffff","1","4","2019","26","402","1.7169871794871794","3","0","0","0","24","0","0","2","0"
"898e62d4a0fffff","21","4","2019","9","416","2.31141975308642","3","0","0","0","0","0","0","9","0"
"898e62d5a33ffff","9","4","2019","9","372","2.1135802469135805","3","0","0","0","2","0","0","7","0"
"898e62c0053ffff","13","4","2019","6","818","2.156481481481481","3","0","0","0","6","0","0","0","0"
"898e62c31b3ffff","15","4","2019","10","903","3.418888888888889","2","0","0","0","6","0","0","4","0"
"898e62c04a3ffff","10","4","2019","68","1294","4.372058823529408","3","1","0","5","15","0","0","48","0"
