,h3id
0,89c2f1571a3ffff
1,89c2f1571afffff
2,89c2f1571a7ffff
3,89c2f1571b7ffff
4,89c2f1571abffff
5,89c2f15626bffff
6,89c2f157133ffff
7,89c2f1544dbffff
8,89c2f1544d3ffff
9,89c2f15627bffff
10,89c2f1571b3ffff
11,89c2f1571bbffff
12,89c2f157107ffff
13,89c2f157137ffff
14,89c2f15626fffff
15,89c2f156263ffff
16,89c2f15624fffff
17,89c2f157123ffff
18,89c2f1544cbffff
19,89c2f1544c3ffff
20,89c2f1544d7ffff
21,89c2f156267ffff
22,89c2f156273ffff
23,89c2f156247ffff
24,89c2f157187ffff
25,89c2f157117ffff
26,89c2f157103ffff
27,89c2f15713bffff
28,89c2f15449bffff
29,89c2f156277ffff
30,89c2f15624bffff
31,89c2f15718fffff
32,89c2f15710fffff
33,89c2f15712bffff
34,89c2f157127ffff
35,89c2f1544cfffff
36,89c2f1544c7ffff
37,89c2f15622bffff
38,89c2f15620fffff
39,89c2f15620bffff
40,89c2f156243ffff
41,89c2f157113ffff
42,89c2f15710bffff
43,89c2f157177ffff
44,89c2f15712fffff
45,89c2f154453ffff
46,89c2f15448bffff
47,89c2f154493ffff
48,89c2f15623bffff
49,89c2f156257ffff
50,89c2f15625bffff
51,89c2f157197ffff
52,89c2f157183ffff
53,89c2f15718bffff
54,89c2f15711bffff
55,89c2f157173ffff
56,89c2f157167ffff
57,89c2f15445bffff
58,89c2f154483ffff
59,89c2f15622fffff
60,89c2f156223ffff
61,89c2f156207ffff
62,89c2f156203ffff
63,89c2f156253ffff
64,89c2f1571c7ffff
65,89c2f119a7bffff
66,89c2f119a63ffff
67,89c2f119a77ffff
68,89c2f119a73ffff
69,89c2f119a6bffff
70,89c2f119a67ffff
71,89c2f119a0fffff
72,89c2f1569b7ffff
73,89c2f119a6fffff
74,89c2f119a2bffff
75,89c2f119a3bffff
76,89c2f119a0bffff
77,89c2f119a47ffff
78,89c2f119a07ffff
79,89c2f119a03ffff
80,89c2f119a4fffff
81,89c2f1569a3ffff
82,89c2f1569a7ffff
83,89c2f10b4d3ffff
84,89c2f10b49bffff
85,89c2f10b493ffff
86,89c2f119a23ffff
87,89c2f119a33ffff
88,89c2f119a57ffff
89,89c2f119a43ffff
90,89c2f1569b3ffff
91,89c2f10b4d7ffff
92,89c2f119a2fffff
93,89c2f119a37ffff
94,89c2f119aabffff
95,89c2f119a17ffff
96,89c2f119a1bffff
97,89c2f119a4bffff
98,89c2f1569bbffff
99,89c2f1569afffff
100,89c2f10b4dbffff
101,89c2f10b4c3ffff
102,89c2f10b483ffff
103,89c2f119a27ffff
104,89c2f119aafffff
105,89c2f119a13ffff
106,89c2f119a53ffff
107,89c2f156987ffff
108,89c2f1569abffff
109,89c2f156937ffff
110,89c2f10b48bffff
111,89c2f10b497ffff
112,89c2f119b5bffff
113,89c2f119bcbffff
