h3id,time,NO2,NO
89a8100ea3bffff,2019-04-04 06:00:00,26.595744680851066,27.2
89a8100ea3bffff,2019-04-04 07:00:00,30.319148936170215,60.8
89a8100ea3bffff,2019-04-04 08:00:00,34.57446808510638,67.2
89a8100ea3bffff,2019-04-04 09:00:00,41.48936170212766,60.0
89a8100ea3bffff,2019-04-04 10:00:00,50.53191489361702,46.4
89a8100ea3bffff,2019-04-04 11:00:00,63.829787234042556,30.4
89a8100ea3bffff,2019-04-04 12:00:00,45.21276595744681,10.4
89a8100ea3bffff,2019-04-04 13:00:00,34.57446808510638,8.0
89a8100ea3bffff,2019-04-04 14:00:00,25.531914893617024,11.2
89a8100ea3bffff,2019-04-04 15:00:00,32.97872340425532,9.6
89a8100ea3bffff,2019-04-04 16:00:00,31.382978723404257,6.4
89a8100ea3bffff,2019-04-04 17:00:00,36.70212765957447,9.6
89a8100ea3bffff,2019-04-04 18:00:00,37.765957446808514,5.6
89a8100ea3bffff,2019-04-04 19:00:00,22.872340425531917,0.0
89a8100ea3bffff,2019-04-04 20:00:00,36.17021276595745,0.8
89a8100ea3bffff,2019-04-04 21:00:00,66.48936170212767,9.6
89a8100ea3bffff,2019-04-04 22:00:00,56.91489361702128,18.4
89a8100ea3bffff,2019-04-04 23:00:00,58.51063829787234,28.0
89a8100ea3bffff,2019-04-05 00:00:00,63.297872340425535,61.6
89a8100ea3bffff,2019-04-13 01:00:00,,
89a8100ea3bffff,2019-04-13 02:00:00,26.595744680851066,3.2
89a8100ea3bffff,2019-04-13 03:00:00,26.063829787234045,1.6
89a8100ea3bffff,2019-04-13 04:00:00,23.404255319148938,2.4
89a8100ea3bffff,2019-04-13 05:00:00,19.680851063829788,0.0
89a8100ea3bffff,2019-04-13 06:00:00,18.617021276595747,2.4
89a8100ea3bffff,2019-04-13 07:00:00,17.5531914893617,8.8
89a8100ea3bffff,2019-04-13 08:00:00,18.617021276595747,12.8
89a8100ea3bffff,2019-04-13 09:00:00,20.74468085106383,14.4
89a8100ea3bffff,2019-04-13 10:00:00,21.27659574468085,17.6
89a8100ea3bffff,2019-04-13 11:00:00,22.340425531914896,12.0
89a8100ea3bffff,2019-04-13 12:00:00,18.085106382978726,5.6
89a8100ea3bffff,2019-04-13 13:00:00,11.702127659574469,0.8
89a8100ea3bffff,2019-04-13 14:00:00,15.425531914893618,1.6
89a8100ea3bffff,2019-04-13 15:00:00,9.574468085106384,0.0
89a8100ea3bffff,2019-04-13 16:00:00,10.638297872340425,0.0
89a8100ea3bffff,2019-04-13 17:00:00,6.382978723404256,0.0
89a8100ea3bffff,2019-04-13 18:00:00,4.25531914893617,0.0
89a8100ea3bffff,2019-04-13 19:00:00,6.914893617021277,0.0
89a8100ea3bffff,2019-04-13 20:00:00,8.51063829787234,0.0
89a8100ea3bffff,2019-04-13 21:00:00,6.914893617021277,0.8
89a8100ea3bffff,2019-04-13 22:00:00,15.957446808510639,8.0
89a8100ea3bffff,2019-04-13 23:00:00,18.085106382978726,5.6
89a8100ea3bffff,2019-04-14 00:00:00,17.02127659574468,4.8
89a8100ea3bffff,2019-04-14 01:00:00,,
89a8100ea3bffff,2019-04-14 02:00:00,15.425531914893618,1.6
89a8100ea3bffff,2019-04-14 03:00:00,12.765957446808512,0.8
89a8100ea3bffff,2019-04-14 04:00:00,7.9787234042553195,0.8
89a8100ea3bffff,2019-04-14 05:00:00,9.574468085106384,1.6
89a8100ea3bffff,2019-04-14 06:00:00,5.319148936170213,0.8
89a8100ea3bffff,2019-04-14 07:00:00,10.638297872340425,4.8
89a8100ea3bffff,2019-04-14 08:00:00,13.829787234042554,11.2
89a8100ea3bffff,2019-04-14 09:00:00,10.638297872340425,7.2
89a8100ea3bffff,2019-04-14 10:00:00,9.042553191489363,6.4
89a8100ea3bffff,2019-04-14 11:00:00,11.170212765957448,7.2
89a8100ea3bffff,2019-04-14 12:00:00,7.9787234042553195,4.8
89a8100ea3bffff,2019-04-14 13:00:00,4.25531914893617,0.8
89a8100ea3bffff,2019-04-14 14:00:00,9.574468085106384,8.8
89a8100ea3bffff,2019-04-14 15:00:00,14.361702127659575,6.4
89a8100ea3bffff,2019-04-14 16:00:00,10.638297872340425,2.4
89a8100ea3bffff,2019-04-14 17:00:00,11.170212765957448,2.4
89a8100ea3bffff,2019-04-14 18:00:00,10.106382978723405,4.0
89a8100ea3bffff,2019-04-14 19:00:00,11.702127659574469,4.0
89a8100ea3bffff,2019-04-14 20:00:00,14.893617021276597,13.6
89a8100ea3bffff,2019-04-14 21:00:00,15.957446808510639,8.8
89a8100ea3bffff,2019-04-14 22:00:00,16.48936170212766,17.6
89a8100ea3bffff,2019-04-14 23:00:00,18.085106382978726,11.2
89a8100ea3bffff,2019-04-15 00:00:00,18.085106382978726,7.2
89a8100ea3bffff,2019-04-15 01:00:00,,
89a8100ea3bffff,2019-04-15 02:00:00,9.042553191489363,1.6
89a8100ea3bffff,2019-04-15 03:00:00,6.914893617021277,0.8
89a8100ea3bffff,2019-04-15 04:00:00,7.446808510638299,0.8
89a8100ea3bffff,2019-04-15 05:00:00,8.51063829787234,1.6
89a8100ea3bffff,2019-04-15 06:00:00,12.23404255319149,12.8
89a8100ea3bffff,2019-04-15 07:00:00,19.148936170212767,36.8
89a8100ea3bffff,2019-04-15 08:00:00,20.74468085106383,39.2
89a8100ea3bffff,2019-04-15 09:00:00,20.74468085106383,40.8
89a8100ea3bffff,2019-04-15 10:00:00,26.063829787234045,47.2
89a8100ea3bffff,2019-04-15 11:00:00,25.0,32.8
89a8100ea3bffff,2019-04-15 12:00:00,23.93617021276596,24.8
89a8100ea3bffff,2019-04-15 13:00:00,21.808510638297875,16.0
89a8100ea3bffff,2019-04-15 14:00:00,21.27659574468085,8.8
89a8100ea3bffff,2019-04-15 15:00:00,18.085106382978726,7.2
89a8100ea3bffff,2019-04-15 16:00:00,18.617021276595747,1.6
89a8100ea3bffff,2019-04-15 17:00:00,14.361702127659575,0.0
89a8100ea3bffff,2019-04-15 18:00:00,9.574468085106384,0.0
89a8100ea3bffff,2019-04-15 19:00:00,9.042553191489363,0.0
89a8100ea3bffff,2019-04-15 20:00:00,11.170212765957448,0.8
89a8100ea3bffff,2019-04-15 21:00:00,11.170212765957448,1.6
89a8100ea3bffff,2019-04-15 22:00:00,16.48936170212766,8.8
89a8100ea3bffff,2019-04-15 23:00:00,12.23404255319149,5.6
89a8100ea3bffff,2019-04-16 00:00:00,7.446808510638299,3.2
89a8100ea3bffff,2019-04-16 01:00:00,,
89a8100ea3bffff,2019-04-16 02:00:00,8.51063829787234,1.6
89a8100ea3bffff,2019-04-16 03:00:00,4.25531914893617,0.8
89a8100ea3bffff,2019-04-16 04:00:00,6.382978723404256,0.0
89a8100ea3bffff,2019-04-16 05:00:00,6.382978723404256,0.8
89a8100ea3bffff,2019-04-16 06:00:00,14.361702127659575,8.0
89a8100ea3bffff,2019-04-16 07:00:00,17.02127659574468,28.0
89a8100ea3bffff,2019-04-16 08:00:00,18.085106382978726,30.4
89a8100ea3bffff,2019-04-16 09:00:00,19.680851063829788,44.8
89a8100ea3bffff,2019-04-16 10:00:00,19.680851063829788,20.8
89a8100ea3bffff,2019-04-16 11:00:00,22.340425531914896,28.0
89a8100ea3bffff,2019-04-16 12:00:00,19.680851063829788,22.4
89a8100ea3bffff,2019-04-16 13:00:00,22.872340425531917,20.8
89a8100ea3bffff,2019-04-16 14:00:00,21.808510638297875,21.6
89a8100ea3bffff,2019-04-16 15:00:00,21.27659574468085,15.2
89a8100ea3bffff,2019-04-16 16:00:00,24.46808510638298,21.6
89a8100ea3bffff,2019-04-16 17:00:00,30.851063829787236,30.4
89a8100ea3bffff,2019-04-16 18:00:00,26.595744680851066,4.8
89a8100ea3bffff,2019-04-16 19:00:00,26.595744680851066,1.6
89a8100ea3bffff,2019-04-16 20:00:00,19.148936170212767,2.4
89a8100ea3bffff,2019-04-16 21:00:00,23.404255319148938,31.2
89a8100ea3bffff,2019-04-16 22:00:00,22.340425531914896,27.2
89a8100ea3bffff,2019-04-16 23:00:00,22.340425531914896,25.6
89a8100ea3bffff,2019-04-17 00:00:00,21.808510638297875,27.2
89a8100ea3bffff,2019-04-17 01:00:00,,
89a8100ea3bffff,2019-04-17 02:00:00,13.829787234042554,3.2
89a8100ea3bffff,2019-04-17 03:00:00,5.851063829787234,0.0
89a8100ea3bffff,2019-04-17 04:00:00,8.51063829787234,1.6
89a8100ea3bffff,2019-04-17 05:00:00,4.787234042553192,0.0
89a8100ea3bffff,2019-04-17 06:00:00,9.042553191489363,1.6
89a8100ea3bffff,2019-04-17 07:00:00,11.702127659574469,8.8
89a8100ea3bffff,2019-04-17 08:00:00,19.680851063829788,40.8
89a8100ea3bffff,2019-04-17 09:00:00,14.893617021276597,6.4
89a8100ea3bffff,2019-04-17 10:00:00,18.617021276595747,12.0
89a8100ea3bffff,2019-04-17 11:00:00,21.808510638297875,13.6
89a8100ea3bffff,2019-04-17 12:00:00,27.127659574468087,26.4
89a8100ea3bffff,2019-04-17 13:00:00,23.93617021276596,18.4
89a8100ea3bffff,2019-04-17 14:00:00,21.27659574468085,16.0
89a8100ea3bffff,2019-04-17 15:00:00,22.340425531914896,18.4
89a8100ea3bffff,2019-04-17 16:00:00,18.085106382978726,10.4
89a8100ea3bffff,2019-04-17 17:00:00,14.361702127659575,6.4
89a8100ea3bffff,2019-04-17 18:00:00,18.085106382978726,1.6
89a8100ea3bffff,2019-04-17 19:00:00,16.48936170212766,1.6
89a8100ea3bffff,2019-04-17 20:00:00,12.23404255319149,0.8
89a8100ea3bffff,2019-04-17 21:00:00,9.574468085106384,0.0
89a8100ea3bffff,2019-04-17 22:00:00,14.893617021276597,0.0
89a8100ea3bffff,2019-04-17 23:00:00,15.957446808510639,0.0
89a8100ea3bffff,2019-04-18 00:00:00,18.085106382978726,1.6
89a8100ea3bffff,2019-04-18 01:00:00,,
89a8100ea3bffff,2019-04-18 02:00:00,2.6595744680851063,0.0
89a8100ea3bffff,2019-04-18 03:00:00,0.5319148936170213,0.0
89a8100ea3bffff,2019-04-18 04:00:00,0.5319148936170213,0.0
89a8100ea3bffff,2019-04-18 05:00:00,1.595744680851064,0.0
89a8100ea3bffff,2019-04-18 06:00:00,5.319148936170213,0.8
89a8100ea3bffff,2019-04-18 07:00:00,13.829787234042554,0.8
89a8100ea3bffff,2019-04-18 08:00:00,17.5531914893617,4.8
89a8100ea3bffff,2019-04-18 09:00:00,14.361702127659575,2.4
89a8100ea3bffff,2019-04-18 10:00:00,17.5531914893617,6.4
89a8100ea3bffff,2019-04-18 11:00:00,14.893617021276597,4.0
89a8100ea3bffff,2019-04-18 12:00:00,18.617021276595747,9.6
89a8100ea3bffff,2019-04-18 13:00:00,11.702127659574469,0.8
89a8100ea3bffff,2019-04-18 14:00:00,8.51063829787234,1.6
89a8100ea3bffff,2019-04-18 15:00:00,5.851063829787234,0.8
89a8100ea3bffff,2019-04-18 16:00:00,9.042553191489363,0.8
89a8100ea3bffff,2019-04-18 17:00:00,11.702127659574469,0.0
89a8100ea3bffff,2019-04-18 18:00:00,13.829787234042554,0.0
89a8100ea3bffff,2019-04-18 19:00:00,12.765957446808512,0.0
89a8100ea3bffff,2019-04-18 20:00:00,18.085106382978726,0.8
89a8100ea3bffff,2019-04-18 21:00:00,14.361702127659575,0.8
89a8100ea3bffff,2019-04-18 22:00:00,18.085106382978726,0.0
89a8100ea3bffff,2019-04-18 23:00:00,17.02127659574468,0.0
89a8100ea3bffff,2019-04-19 00:00:00,14.361702127659575,4.0
89a8100ea3bffff,2019-04-19 01:00:00,,
89a8100ea3bffff,2019-04-19 02:00:00,16.48936170212766,4.8
89a8100ea3bffff,2019-04-19 03:00:00,19.680851063829788,5.6
89a8100ea3bffff,2019-04-19 04:00:00,19.680851063829788,2.4
89a8100ea3bffff,2019-04-19 05:00:00,19.148936170212767,10.4
89a8100ea3bffff,2019-04-19 06:00:00,18.085106382978726,7.2
89a8100ea3bffff,2019-04-19 07:00:00,16.48936170212766,8.0
89a8100ea3bffff,2019-04-19 08:00:00,20.21276595744681,43.2
89a8100ea3bffff,2019-04-19 09:00:00,21.808510638297875,16.8
89a8100ea3bffff,2019-04-19 10:00:00,27.127659574468087,12.0
89a8100ea3bffff,2019-04-19 11:00:00,18.617021276595747,2.4
89a8100ea3bffff,2019-04-19 12:00:00,15.957446808510639,0.0
89a8100ea3bffff,2019-04-19 13:00:00,14.361702127659575,0.8
89a8100ea3bffff,2019-04-19 14:00:00,18.085106382978726,0.8
89a8100ea3bffff,2019-04-19 15:00:00,10.106382978723405,0.0
89a8100ea3bffff,2019-04-19 16:00:00,13.297872340425533,0.8
89a8100ea3bffff,2019-04-19 17:00:00,7.446808510638299,0.0
89a8100ea3bffff,2019-04-19 18:00:00,5.851063829787234,0.0
89a8100ea3bffff,2019-04-19 19:00:00,14.361702127659575,0.0
89a8100ea3bffff,2019-04-19 20:00:00,15.957446808510639,0.0
89a8100ea3bffff,2019-04-19 21:00:00,15.957446808510639,0.0
89a8100ea3bffff,2019-04-19 22:00:00,12.23404255319149,0.0
89a8100ea3bffff,2019-04-19 23:00:00,21.808510638297875,7.2
89a8100ea3bffff,2019-04-20 00:00:00,32.97872340425532,25.6
89a8100ea3bffff,2019-04-20 01:00:00,,
89a8100ea3bffff,2019-04-20 02:00:00,31.382978723404257,31.2
89a8100ea3bffff,2019-04-20 03:00:00,23.93617021276596,15.2
89a8100ea3bffff,2019-04-20 04:00:00,21.27659574468085,12.0
89a8100ea3bffff,2019-04-20 05:00:00,22.872340425531917,12.8
89a8100ea3bffff,2019-04-20 06:00:00,21.27659574468085,16.8
89a8100ea3bffff,2019-04-20 07:00:00,23.404255319148938,60.8
89a8100ea3bffff,2019-04-20 08:00:00,29.787234042553195,68.0
89a8100ea3bffff,2019-04-20 09:00:00,42.5531914893617,57.6
89a8100ea3bffff,2019-04-20 10:00:00,42.02127659574468,33.6
89a8100ea3bffff,2019-04-20 11:00:00,23.404255319148938,13.6
89a8100ea3bffff,2019-04-20 12:00:00,16.48936170212766,6.4
89a8100ea3bffff,2019-04-20 13:00:00,17.02127659574468,8.8
89a8100ea3bffff,2019-04-20 14:00:00,13.829787234042554,7.2
89a8100ea3bffff,2019-04-20 15:00:00,13.829787234042554,8.8
89a8100ea3bffff,2019-04-20 16:00:00,7.446808510638299,1.6
89a8100ea3bffff,2019-04-20 17:00:00,7.9787234042553195,0.8
89a8100ea3bffff,2019-04-20 18:00:00,11.702127659574469,0.0
89a8100ea3bffff,2019-04-20 19:00:00,15.425531914893618,0.0
89a8100ea3bffff,2019-04-20 20:00:00,37.765957446808514,6.4
89a8100ea3bffff,2019-04-20 21:00:00,20.74468085106383,0.0
89a8100ea3bffff,2019-04-20 22:00:00,42.02127659574468,9.6
89a8100ea3bffff,2019-04-20 23:00:00,44.14893617021277,29.6
